STATION,STATION_NAME,DATE,PRCP,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160108,0.94,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160109,0.21,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160201,0.39,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160202,0.03,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160408,0.14,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160409,0.04,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160411,0.14,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160501,0.12,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160518,0,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160630,0.35,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160701,0.12,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160814,0,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160823,0.55,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160824,0.05,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160825,0,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160826,0.09,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160828,0.04,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160101,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160102,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160103,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160104,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160105,0.58,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160106,0.71,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160107,0.14,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160108,0.54,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160109,0.02,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160110,0.01,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160111,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160112,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160113,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160114,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160115,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160116,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160117,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160118,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160119,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160120,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160121,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160122,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160123,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160124,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160125,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160126,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160127,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160128,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160129,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160130,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160131,0,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160201,0.43,
GHCND:US1AZMR0082,PHOENIX 9.2 NE AZ US,20160202,0.01,
